user_id,event_type,timestamp
10001,share,2025-06-08 17:00:00
10001,login,2025-06-01 08:00:00
10001,browse,2025-06-25 20:00:00
10001,share,2025-06-26 15:00:00
10001,share,2025-05-16 07:00:00
10001,login,2025-06-25 18:00:00
10001,login,2025-06-23 06:00:00
10001,login,2025-06-21 18:00:00
10001,workout,2025-05-24 03:00:00
10002,login,2025-06-19 10:00:00
10002,share,2025-06-19 11:00:00
10002,message_coach,2025-06-15 13:00:00
10002,browse,2025-06-25 11:00:00
10002,message_coach,2025-06-12 12:00:00
10002,workout,2025-06-23 10:00:00
10002,browse,2025-06-26 11:00:00
10002,share,2025-06-14 03:00:00
10002,login,2025-06-15 02:00:00
10003,browse,2025-04-16 17:00:00
10003,login,2025-06-02 12:00:00
10003,share,2025-06-09 09:00:00
10003,workout,2025-06-13 04:00:00
10003,share,2025-04-10 15:00:00
10003,workout,2025-06-10 11:00:00
10003,browse,2025-05-19 02:00:00
10003,browse,2025-05-15 01:00:00
10003,message_coach,2025-06-24 10:00:00
10003,message_coach,2025-05-29 15:00:00
10003,browse,2025-05-27 09:00:00
10003,workout,2025-04-15 19:00:00
10003,message_coach,2025-04-28 04:00:00
10003,message_coach,2025-06-14 05:00:00
10004,login,2025-06-25 20:00:00
10004,message_coach,2025-04-03 22:00:00
10004,browse,2025-04-05 07:00:00
10004,workout,2025-03-30 11:00:00
10004,workout,2025-06-29 09:00:00
10004,browse,2025-06-01 06:00:00
10004,message_coach,2025-04-17 16:00:00
10005,share,2025-04-20 04:00:00
10005,workout,2025-06-20 18:00:00
10005,browse,2025-05-26 20:00:00
10005,message_coach,2025-04-07 07:00:00
10005,login,2025-06-09 16:00:00
10005,login,2025-05-18 22:00:00
10005,message_coach,2025-04-01 08:00:00
10005,login,2025-05-10 23:00:00
10005,workout,2025-05-07 05:00:00
10005,login,2025-05-21 20:00:00
10005,browse,2025-04-17 14:00:00
10005,share,2025-06-05 06:00:00
10005,login,2025-06-27 07:00:00
10006,share,2025-04-04 10:00:00
10006,browse,2025-03-19 04:00:00
10006,share,2025-04-02 18:00:00
10006,login,2025-03-09 21:00:00
10006,workout,2025-02-19 20:00:00
10006,browse,2025-03-02 23:00:00
10006,login,2025-03-22 05:00:00
10006,browse,2025-03-19 02:00:00
10007,login,2025-03-10 18:00:00
10007,workout,2025-04-04 15:00:00
10007,workout,2025-03-27 04:00:00
10007,workout,2025-04-10 18:00:00
10007,message_coach,2025-05-28 03:00:00
10007,message_coach,2025-04-18 21:00:00
10007,share,2025-06-02 13:00:00
10007,workout,2025-02-16 23:00:00
10007,browse,2025-02-14 13:00:00
10007,browse,2025-01-31 03:00:00
10008,browse,2025-06-01 09:00:00
10008,workout,2025-06-15 07:00:00
10008,message_coach,2025-06-04 22:00:00
10008,login,2025-05-17 01:00:00
10008,login,2025-05-19 12:00:00
10009,share,2025-05-21 18:00:00
10009,workout,2025-05-09 04:00:00
10009,workout,2025-04-20 08:00:00
10010,workout,2025-06-18 18:00:00
10010,share,2025-06-23 09:00:00
10010,workout,2025-02-18 10:00:00
10010,browse,2025-05-25 16:00:00
10010,share,2025-06-11 22:00:00
10010,browse,2025-04-16 19:00:00
10010,browse,2025-04-10 23:00:00
10010,login,2025-06-05 18:00:00
10010,share,2025-06-26 19:00:00
10011,login,2025-06-08 23:00:00
10011,workout,2025-06-01 19:00:00
10011,message_coach,2025-06-05 05:00:00
10011,share,2025-06-01 01:00:00
10011,workout,2025-06-09 23:00:00
10011,share,2025-06-29 14:00:00
10011,workout,2025-06-07 14:00:00
10011,workout,2025-06-17 07:00:00
10011,message_coach,2025-06-04 17:00:00
10012,message_coach,2025-05-21 03:00:00
10012,workout,2025-05-17 01:00:00
10012,message_coach,2025-05-16 17:00:00
10012,message_coach,2025-05-22 16:00:00
10012,browse,2025-06-24 23:00:00
10012,message_coach,2025-06-29 11:00:00
10012,share,2025-06-26 19:00:00
10012,message_coach,2025-06-12 23:00:00
10012,browse,2025-06-05 17:00:00
10012,share,2025-06-04 05:00:00
10012,workout,2025-06-03 16:00:00
10013,message_coach,2025-01-27 18:00:00
10013,share,2025-02-18 01:00:00
10013,login,2025-04-03 03:00:00
10013,workout,2025-06-15 20:00:00
10013,browse,2025-06-17 06:00:00
10013,browse,2025-02-01 02:00:00
10013,share,2025-03-20 09:00:00
10014,message_coach,2025-06-20 12:00:00
10014,browse,2025-05-19 10:00:00
10014,browse,2025-01-30 13:00:00
10014,message_coach,2025-03-12 00:00:00
10014,login,2025-01-14 16:00:00
10014,workout,2025-06-29 19:00:00
10014,browse,2025-04-26 15:00:00
10014,workout,2025-06-18 23:00:00
10014,browse,2025-05-14 02:00:00
10014,message_coach,2025-05-07 02:00:00
10015,share,2025-01-04 16:00:00
10015,share,2025-04-22 21:00:00
10015,workout,2025-01-29 12:00:00
10015,workout,2025-06-19 05:00:00
10015,browse,2025-02-16 10:00:00
10015,login,2025-05-28 14:00:00
10015,browse,2025-05-11 23:00:00
10015,login,2025-03-20 11:00:00
10016,browse,2025-06-24 05:00:00
10016,message_coach,2025-04-26 06:00:00
10016,browse,2025-06-08 16:00:00
10016,share,2025-05-27 21:00:00
10016,workout,2025-04-30 03:00:00
10016,login,2025-06-09 05:00:00
10016,browse,2025-04-13 15:00:00
10016,browse,2025-05-21 09:00:00
10016,login,2025-05-22 10:00:00
10016,browse,2025-06-29 19:00:00
10016,message_coach,2025-05-27 22:00:00
10016,share,2025-05-22 13:00:00
10016,message_coach,2025-06-04 13:00:00
10016,workout,2025-03-21 20:00:00
10017,workout,2025-05-27 18:00:00
10017,browse,2025-06-07 08:00:00
10017,share,2025-05-12 10:00:00
10017,browse,2025-05-15 08:00:00
10017,login,2025-06-07 06:00:00
10017,message_coach,2025-06-16 19:00:00
10017,browse,2025-06-04 13:00:00
10017,message_coach,2025-05-24 05:00:00
10017,browse,2025-05-27 14:00:00
10017,share,2025-06-11 12:00:00
10018,share,2025-04-07 02:00:00
10018,login,2025-06-06 10:00:00
10018,share,2025-05-29 03:00:00
10018,message_coach,2025-01-17 16:00:00
10018,share,2025-01-23 02:00:00
10018,workout,2025-03-30 16:00:00
10018,login,2025-06-05 00:00:00
10018,share,2025-02-24 19:00:00
10018,browse,2025-01-24 15:00:00
10018,browse,2025-03-02 00:00:00
10018,message_coach,2025-04-02 04:00:00
10018,message_coach,2025-03-18 19:00:00
10018,login,2025-05-14 12:00:00
10018,browse,2025-04-22 21:00:00
10018,workout,2025-02-26 00:00:00
10019,browse,2025-06-08 20:00:00
10019,browse,2025-06-04 09:00:00
10019,login,2025-05-28 21:00:00
10019,workout,2025-05-07 07:00:00
10019,browse,2025-05-06 10:00:00
10019,message_coach,2025-05-30 12:00:00
10019,login,2025-06-25 07:00:00
10019,message_coach,2025-05-30 21:00:00
10019,workout,2025-04-22 17:00:00
10019,browse,2025-05-15 19:00:00
10019,share,2025-06-18 22:00:00
10019,browse,2025-06-17 09:00:00
10019,share,2025-05-18 17:00:00
10019,message_coach,2025-06-02 16:00:00
10019,message_coach,2025-05-16 10:00:00
10020,browse,2025-05-07 08:00:00
10020,message_coach,2025-05-20 06:00:00
10020,login,2025-05-16 03:00:00
10020,browse,2025-06-20 06:00:00
10020,browse,2025-06-10 22:00:00
10020,share,2025-06-06 20:00:00
10020,message_coach,2025-06-25 02:00:00
10020,message_coach,2025-04-27 21:00:00
10020,message_coach,2025-05-24 19:00:00
10021,message_coach,2025-06-30 00:00:00
10021,browse,2025-04-03 11:00:00
10021,share,2025-06-17 19:00:00
10021,workout,2025-04-05 10:00:00
10021,share,2025-03-10 16:00:00
10021,browse,2025-06-22 11:00:00
10021,message_coach,2025-05-26 20:00:00
10021,message_coach,2025-06-15 10:00:00
10021,share,2025-05-04 14:00:00
10021,browse,2025-03-27 04:00:00
10021,share,2025-03-28 21:00:00
10022,share,2025-06-09 10:00:00
10022,browse,2025-06-11 08:00:00
10022,login,2025-06-26 04:00:00
10022,message_coach,2025-06-06 16:00:00
10022,browse,2025-06-17 23:00:00
10022,message_coach,2025-06-02 05:00:00
10022,message_coach,2025-06-04 16:00:00
10022,message_coach,2025-06-12 09:00:00
10022,workout,2025-06-11 10:00:00
10022,browse,2025-05-31 06:00:00
10022,login,2025-06-26 16:00:00
10023,message_coach,2025-05-15 21:00:00
10023,login,2025-06-08 06:00:00
10023,browse,2025-04-22 22:00:00
10023,share,2025-04-04 14:00:00
10023,share,2025-06-21 08:00:00
10023,workout,2025-05-25 05:00:00
10023,message_coach,2025-03-14 09:00:00
10023,browse,2025-03-01 09:00:00
10023,browse,2025-05-09 13:00:00
10023,share,2025-06-21 19:00:00
10024,message_coach,2025-05-16 01:00:00
10024,workout,2025-05-13 11:00:00
10024,browse,2025-06-18 09:00:00
10024,workout,2025-06-23 00:00:00
10024,browse,2025-06-20 23:00:00
10024,share,2025-05-21 21:00:00
10024,share,2025-05-05 02:00:00
10024,workout,2025-06-20 05:00:00
10024,share,2025-05-26 03:00:00
10024,workout,2025-06-09 14:00:00
10024,login,2025-05-24 02:00:00
10025,browse,2025-06-22 07:00:00
10025,login,2025-06-27 06:00:00
10025,message_coach,2025-06-22 12:00:00
10025,login,2025-06-22 07:00:00
10025,browse,2025-06-27 18:00:00
10025,workout,2025-06-25 23:00:00
10025,browse,2025-06-29 08:00:00
10025,browse,2025-06-25 21:00:00
10025,login,2025-06-20 00:00:00
10025,login,2025-06-25 07:00:00
10026,login,2025-06-27 00:00:00
10026,share,2025-06-04 17:00:00
10026,workout,2025-06-21 20:00:00
10026,message_coach,2025-06-12 14:00:00
10026,login,2025-06-05 13:00:00
10026,share,2025-06-13 08:00:00
10026,workout,2025-06-06 15:00:00
10026,message_coach,2025-06-18 00:00:00
10026,browse,2025-06-08 16:00:00
10026,share,2025-06-27 02:00:00
10026,share,2025-06-06 06:00:00
10026,message_coach,2025-06-13 15:00:00
10026,login,2025-06-13 13:00:00
10026,workout,2025-06-28 03:00:00
10026,browse,2025-06-09 21:00:00
10026,workout,2025-06-19 05:00:00
10027,login,2025-05-28 17:00:00
10027,message_coach,2025-04-29 01:00:00
10027,share,2025-02-16 23:00:00
10027,share,2025-03-12 19:00:00
10027,login,2025-03-18 07:00:00
10027,message_coach,2025-01-29 18:00:00
10027,workout,2025-02-20 06:00:00
10027,workout,2025-03-10 06:00:00
